Marca temporal,¿Cuántos años tenés?,,¿Cuál es tu género?,Me siento calmado,Me siento seguro,Estoy tenso,Estoy contrariado (malhumorado o disgustado),Me siento cómodo (estoy a gusto),Estoy preocupado ahora por posibles desgracias futuras,Me siento descansado,Me siento angustiado,Me siento confortable,Tengo confianza en mi mismo,Me siento nervioso,Estoy desasosegado (agitado e inquieto),Me siento muy “atado” (como oprimido),Estoy relajado,Me siento satisfecho,Estoy preocupado,Me siento aturdido y sobreexcitado,Me siento alegre,En este momento me siento bien
7/07/2021 12:11:57,Entre 15 y 18,,Mujer,Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Mucho (2),Mucho (3),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Nada (0)
7/07/2021 12:14:13,Entre 15 y 18,,Mujer,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (3),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Mucho (3),Mucho (3)
7/07/2021 12:14:16,Más de 40,,Mujer,Un poco (1),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Mucho (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1)
7/07/2021 12:14:34,Entre 15 y 18,,Mujer,Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:16:29,Entre 15 y 18,,Mujer,Mucho (3),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Mucho (3),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Nada (0),Mucho (3),Bastante (2)
7/07/2021 12:18:36,Entre 15 y 18,,Mujer,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 12:19:14,Entre 19 y 25,,Mujer,Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Bastante (3),Nada (0),Un poco (1),Un poco (1),Nada (0),Mucho (3),Un poco (1),Mucho (3),Nada (0),Nada (0),Bastante (2),Bastante (2),Bastante (2),Bastante (2)
7/07/2021 12:19:46,Entre 26 y 40,,Mujer,Mucho (3),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Mucho (3),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Mucho (3),Mucho (3)
7/07/2021 12:21:04,Más de 40,,Mujer,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:21:14,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Mucho (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Mucho (3),Nada (0),Bastante (2),Nada (0),Nada (0),Bastante (2),Nada (0),Un poco (1),Nada (0)
7/07/2021 12:22:23,Entre 15 y 18,,Mujer,Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 12:23:11,Entre 26 y 40,,Mujer,Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:23:36,Entre 19 y 25,,Mujer,Un poco (1),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Bastante (3),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Mucho (3),Un poco (1),Nada (0),Un poco (1),Mucho (3),Nada (0),Un poco (1),Un poco (1)
7/07/2021 12:23:46,Entre 19 y 25,,Mujer,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Nada (0),Bastante (2),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2)
7/07/2021 12:24:44,Entre 15 y 18,,Mujer,Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 12:24:58,Más de 40,,Mujer,Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:25:48,Entre 26 y 40,,Mujer,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 12:27:30,Entre 15 y 18,,Mujer,Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:27:33,Entre 15 y 18,,Mujer,Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Mucho (2),Nada (0),Mucho (3),Un poco (1),Bastante (2),Mucho (3),Mucho (3),Mucho (3),Nada (0),Un poco (1),Mucho (3),Mucho (3),Un poco (1),Nada (0)
7/07/2021 12:28:49,Entre 26 y 40,,Mujer,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2)
7/07/2021 12:29:27,Más de 40,,Mujer,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 12:29:40,Entre 26 y 40,,Mujer,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:39:01,Entre 15 y 18,,Mujer,Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Mucho (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1)
7/07/2021 12:39:22,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 12:46:36,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (2),Mucho (2),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 12:47:59,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Mucho (3),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2)
7/07/2021 12:48:20,Entre 15 y 18,,Mujer,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Nada (0),Un poco (1),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3)
7/07/2021 12:48:58,Más de 40,,Mujer,Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (3),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 12:51:45,Entre 15 y 18,,Mujer,Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 12:52:07,Entre 15 y 18,,Mujer,Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Mucho (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:52:11,Entre 10 y 14,,Mujer,Un poco (1),Nada (0),Mucho (3),Mucho (3),Un poco (1),Bastante (3),Nada (0),Mucho (3),Nada (0),Bastante (2),Mucho (3),Mucho (3),Mucho (3),Un poco (1),Nada (0),Mucho (3),Mucho (3),Un poco (1),Un poco (1)
7/07/2021 12:52:25,Entre 10 y 14,,Mujer,Mucho (3),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:53:01,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Bastante (2),Nada (0),Bastante (2),Bastante (3),Un poco (1),Un poco (1),Nada (0),Un poco (1),Mucho (3),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 12:53:40,Más de 40,,Mujer,Un poco (1),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Nada (0),Mucho (3),Mucho (3),Mucho (3),Un poco (1),Un poco (1),Nada (0),Un poco (1),Mucho (3),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:56:32,Entre 15 y 18,,Mujer,Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 13:01:32,Entre 19 y 25,,Mujer,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 13:02:19,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Bastante (2),Bastante (2),Nada (0),Bastante (3),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Bastante (2),Bastante (2)
7/07/2021 13:04:51,Más de 40,,Mujer,Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 13:06:01,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Bastante (2),Mucho (3),Nada (0),Mucho (2),Un poco (1),Mucho (3),Nada (0),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 13:06:02,Entre 15 y 18,,Mujer,Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Mucho (3),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 13:07:24,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (3),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Nada (0),Nada (0),Nada (0),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 13:07:38,Entre 15 y 18,,Mujer,Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Nada (0),Bastante (2),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Mucho (3),Un poco (1),Bastante (2),Mucho (3),Mucho (3)
7/07/2021 13:09:05,Entre 15 y 18,,Mujer,Bastante (2),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1)
7/07/2021 13:10:13,Entre 19 y 25,,Mujer,Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Mucho (2),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Bastante (2),Nada (0),Un poco (1)
7/07/2021 13:10:53,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (3),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 13:17:30,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (3),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Mucho (3),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2)
7/07/2021 13:21:08,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2)
7/07/2021 13:25:03,Entre 15 y 18,,Mujer,Un poco (1),Mucho (3),Nada (0),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Mucho (3),Nada (0),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Mucho (3)
7/07/2021 13:26:53,Entre 15 y 18,,Mujer,Nada (0),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Nada (0),Bastante (2),Nada (0),Un poco (1),Un poco (1),Nada (0),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 13:28:01,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (3),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 13:31:23,Entre 19 y 25,,Mujer,Un poco (1),Nada (0),Mucho (3),Bastante (2),Un poco (1),Mucho (2),Nada (0),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Mucho (3),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0)
7/07/2021 13:31:45,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Nada (0),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Nada (0),Bastante (2)
7/07/2021 13:35:07,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 13:36:10,Más de 40,,Mujer,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (3),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Nada (0),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Bastante (2)
7/07/2021 13:39:16,Más de 40,,Mujer,Un poco (1),Bastante (2),Mucho (3),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Bastante (2)
7/07/2021 13:40:57,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 13:41:19,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (2),Bastante (2),Nada (0),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 13:44:00,Más de 40,,Mujer,Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Bastante (3),Nada (0),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0)
7/07/2021 13:45:15,Entre 14 y 18,,Mujer,Bastante (2),Bastante (2),Bastante (2),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Bastante (2)
7/07/2021 13:46:47,Más de 40,,Mujer,Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 13:47:29,Entre 19 y 25,,Mujer,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1)
7/07/2021 13:47:41,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Mucho (3),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2)
7/07/2021 13:48:29,Más de 40,,Mujer,Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Mucho (3),Un poco (1),Nada (0),Nada (0),Mucho (3),Mucho (3),Un poco (1),Nada (0),Mucho (3),Mucho (3)
7/07/2021 13:50:51,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 13:52:36,Entre 15 y 18,,Mujer,Mucho (3),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Mucho (3),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3)
7/07/2021 13:54:12,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (3),Bastante (2),Bastante (2),Bastante (2),Nada (0),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 13:57:32,Más de 40,,Mujer,Un poco (1),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1)
7/07/2021 14:00:04,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Bastante (2),Nada (0),Bastante (2),Nada (0),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 14:01:56,Más de 40,,Mujer,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 14:03:55,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Mucho (3),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 14:05:05,Más de 40,,Mujer,Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 14:05:43,Entre 15 y 18,,Mujer,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2)
7/07/2021 14:11:22,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Mucho (3),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 14:11:49,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 14:12:57,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1)
7/07/2021 14:15:20,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 14:17:31,Entre 26 y 40,,Mujer,Un poco (1),Mucho (3),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Nada (0),Mucho (3),Mucho (3)
7/07/2021 14:24:05,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Nada (0),Un poco (1),Nada (0),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 14:33:25,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Nada (0),Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1),Nada (0)
7/07/2021 14:34:57,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 14:35:41,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Mucho (3),Nada (0),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1)
7/07/2021 14:46:14,Entre 15 y 18,,Mujer,Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Bastante (2),Nada (0),Mucho (3),Mucho (3),Bastante (2),Nada (0),Un poco (1),Mucho (3),Mucho (3),Un poco (1),Bastante (2)
7/07/2021 14:46:49,Entre 19 y 25,,Mujer,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1)
7/07/2021 14:47:52,Entre 15 y 18,,Mujer,Mucho (3),Mucho (3),Un poco (1),Nada (0),Mucho (3),Un poco (1),Bastante (2),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Mucho (3),Mucho (3)
7/07/2021 14:48:10,Más de 40,,Mujer,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 14:48:19,Entre 15 y 18,,Mujer,Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Un poco (1)
